created_at,open,high,low,close,symbol,ema3,ema5,ema9,ema13,ema21,ema34,ema50,ema100,ema200
2026-06-07T03:12:00.000000Z,641.867394095,641.867394255,641.867393635,641.867394155,Z-CRY/IDX,641.867394034,641.867393882,641.867393609,641.867393386,641.867393085,641.867392824,641.867392617,641.867391976,641.867390854
2026-06-07T03:13:00.000000Z,641.867394165,641.86739432,641.86739355,641.86739376,Z-CRY/IDX,641.867393897,641.867393841,641.867393639,641.867393439,641.867393147,641.867392878,641.867392662,641.867392011,641.867390883
2026-06-07T03:14:00.000000Z,641.86739378,641.867394235,641.867393665,641.867393875,Z-CRY/IDX,641.867393886,641.867393853,641.867393686,641.867393502,641.867393213,641.867392935,641.867392710,641.867392048,641.867390913
2026-06-07T03:15:00.000000Z,641.86739392,641.867394355,641.86739377,641.867393865,Z-CRY/IDX,641.867393875,641.867393857,641.867393722,641.867393553,641.867393272,641.867392988,641.867392755,641.867392084,641.867390942
2026-06-07T03:16:00.000000Z,641.86739386,641.86739427,641.867393605,641.86739425,Z-CRY/IDX,641.867394063,641.867393988,641.867393828,641.867393653,641.867393361,641.867393060,641.867392814,641.867392127,641.867390975
2026-06-07T03:17:00.000000Z,641.867394235,641.867394615,641.867394235,641.867394495,Z-CRY/IDX,641.867394279,641.867394157,641.867393961,641.867393773,641.867393464,641.867393142,641.867392880,641.867392174,641.867391010
2026-06-07T03:18:00.000000Z,641.86739447,641.86739449,641.867393815,641.86739414,Z-CRY/IDX,641.867394209,641.867394151,641.867393997,641.867393826,641.867393526,641.867393199,641.867392929,641.867392213,641.867391041
2026-06-07T03:19:00.000000Z,641.86739417,641.86739432,641.8673939,641.86739422,Z-CRY/IDX,641.867394215,641.867394174,641.867394041,641.867393882,641.867393589,641.867393258,641.867392980,641.867392253,641.867391073
2026-06-07T03:20:00.000000Z,641.867394275,641.867395075,641.867394275,641.867394585,Z-CRY/IDX,641.867394400,641.867394311,641.867394150,641.867393982,641.867393679,641.867393333,641.867393043,641.867392299,641.867391108
2026-06-07T03:21:00.000000Z,641.86739451,641.867394835,641.86739451,641.867394755,Z-CRY/IDX,641.867394577,641.867394459,641.867394271,641.867394093,641.867393777,641.867393415,641.867393110,641.867392347,641.867391144
